FID;type;Noms;Latitude;Longitude;y_proj;x_proj;Quartiers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dir
0;WAYPOINT;bakanja;-1,68814635;29,23422989;-1,68814635;29,23422989;Les volcans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1;WAYPOINT;magalie;-1,68776839;29,23150606;-1,68776839;29,23150606;Les volcans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
2;WAYPOINT;new Alaska;-1,68304225;29,22882922;-1,68304225;29,22882922;Les volcans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
3;WAYPOINT;saint tropes;-1,67208501;29,22923345;-1,67208501;29,22923345;Murara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
4;WAYPOINT;birek;-1,67190038;29,22923761;-1,67190038;29,22923761;Murara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
5;WAYPOINT;Claudine rose;-1,67110984;29,22933835;-1,67110984;29,22933835;Murara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
6;WAYPOINT;la fraise resto;-1,67084613;29,22935171;-1,67084613;29,22935171;Murara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
7;WAYPOINT;la famille;-1,66368893;29,22802265;-1,66368893;29,22802265;Mabanga Nord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
8;WAYPOINT;saturne;-1,66296979;29,22194369;-1,66296979;29,22194369;Mabanga Nord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
9;WAYPOINT;gloire Ã  Dieu;-1,6615472;29,21567351;-1,6615472;29,21567351;Mabanga Nord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
10;WAYPOINT;Lusaka;-1,66207078;29,21267778;-1,66207078;29,21267778;Kasika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
11;WAYPOINT;archange;-1,66275359;29,2046415;-1,66275359;29,2046415;Katoyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
12;WAYPOINT;bon coin;-1,66054729;29,20306673;-1,66054729;29,20306673;Katoyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
13;WAYPOINT;magufuli;-1,65884127;29,20485669;-1,65884127;29,20485669;Katoyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
14;WAYPOINT;malembe;-1,65882627;29,20289515;-1,65882627;29,20289515;Katoyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
15;WAYPOINT;baba lube;-1,65807941;29,19927502;-1,65807941;29,19927502;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
16;WAYPOINT;siloe;-1,65662736;29,19684096;-1,65662736;29,19684096;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
17;WAYPOINT;lutumba;-1,65752633;29,19355833;-1,65752633;29,19355833;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
18;WAYPOINT;bon choix;-1,6582494;29,19081453;-1,6582494;29,19081453;Kyeshero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
19;WAYPOINT;bateau very;-1,66004977;29,18754496;-1,66004977;29,18754496;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
20;WAYPOINT;maajabu;-1,6650677;29,18228973;-1,6650677;29,18228973;Kyeshero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
21;WAYPOINT;freedom;-1,66762454;29,19273528;-1,66762454;29,19273528;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
22;WAYPOINT;la base;-1,66693142;29,19376465;-1,66693142;29,19376465;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
23;WAYPOINT;la confiance;-1,66865649;29,19640339;-1,66865649;29,19640339;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
24;WAYPOINT;mont rwenzori;-1,67078114;29,20045605;-1,67078114;29,20045605;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
25;WAYPOINT;le chalet;-1,67407265;29,20293974;-1,67407265;29,20293974;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
26;WAYPOINT;kivu lodge;-1,67515959;29,20524334;-1,67515959;29,20524334;Himbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
27;WAYPOINT;le boucher;-1,67713042;29,21576941;-1,67713042;29,21576941;Katindo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
28;WAYPOINT;Anna resto;-1,67751446;29,21849605;-1,67751446;29,21849605;Katindo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
